"id","title","short_title","api_uri","first_name","last_name","date_of_birth","gender","party","twitter_account","facebook_account","govtrack_id","cspan_id","votesmart_id","icpsr_id","crp_id","google_entity_id","fec_candidate_id","url","rss_url","in_office","dw_nominate","seniority","next_election","total_votes","missed_votes","total_present","last_updated","ocd_id","office","phone","state","district","at_large","geoid","missed_votes_pct","votes_with_party_pct","votes_against_party_pct","middle_name","youtube_account","leadership_role","suffix","cook_pvi","vacate","successor","non_voting"
"B001291","Representative","Rep.","https://api.propublica.org/congress/v1/members/B001291.json","Brian","Babin","1948-03-23","M","R","RepBrianBabin","RepBrianBabin",412655,44883,360,21551,"N00005736","/m/010qgj35","H6TX02079","https://babin.house.gov",NA,TRUE,0.704,8,2022,493,9,0,"2022-02-28 07:30:29 -0500","ocd-division/country:us/state:tx/cd:36","2236 Rayburn House Office Building","202-225-1555","TX","36",FALSE,4836,1.83,92.9,6.89,NA,NA,NA,NA,NA,0,0,0
"B001298","Representative","Rep.","https://api.propublica.org/congress/v1/members/B001298.json","Don","Bacon","1963-08-16","M","R","repdonbacon","RepDonBacon",412713,103442,166299,21701,"N00037049","/m/01311t71","H6NE02125","https://bacon.house.gov",NA,TRUE,0.376,6,2022,493,1,0,"2022-02-28 07:30:29 -0500","ocd-division/country:us/state:ne/cd:2","1024 Longworth House Office Building","202-225-4155","NE","2",FALSE,3102,0.2,91.36,8.44,NA,NA,NA,NA,NA,0,0,0
"B001307","Representative","Rep.","https://api.propublica.org/congress/v1/members/B001307.json","James","Baird","1945-06-04","M","R","RepJimBaird",NA,412777,NA,86013,NA,"N00041954","/g/11gfd5wndr","H8IN04199","https://baird.house.gov",NA,TRUE,NA,4,2022,493,1,0,"2022-02-28 07:30:30 -0500","ocd-division/country:us/state:in/cd:4","1314 Longworth House Office Building","202-225-5037","IN","4",FALSE,1804,0.2,96.09,3.7,NA,NA,NA,NA,NA,0,0,0
"B001306","Representative","Rep.","https://api.propublica.org/congress/v1/members/B001306.json","Troy","Balderson","1962-01-16","M","R","RepBalderson",NA,412747,NA,102781,NA,"N00042194","/m/09ry4tm","H8OH12180","https://balderson.house.gov",NA,TRUE,NA,6,2022,493,9,0,"2022-02-28 07:30:31 -0500","ocd-division/country:us/state:oh/cd:12","2429 Rayburn House Office Building","202-225-5355","OH","12",FALSE,3912,1.83,97.29,2.51,NA,NA,NA,NA,NA,0,0,0
"B001299","Representative","Rep.","https://api.propublica.org/congress/v1/members/B001299.json","Jim","Banks","1979-07-16","M","R","RepJimBanks","RepJimBanks",412702,89806,116801,21702,"N00037185","/m/0j621nj","H6IN03229","https://banks.house.gov",NA,TRUE,0.645,6,2022,493,17,0,"2022-02-28 07:30:29 -0500","ocd-division/country:us/state:in/cd:3","1713 Longworth House Office Building","202-225-4436","IN","3",FALSE,1803,3.45,93.62,6.17,NA,NA,NA,NA,NA,0,0,0
"B001282","Representative","Rep.","https://api.propublica.org/congress/v1/members/B001282.json","Andy","Barr","1973-07-24","M","R","RepAndyBarr","RepAndyBarr",412541,61848,117290,21333,"N00031233","/m/0ddc6r6","H0KY06104","https://barr.house.gov",NA,TRUE,0.484,10,2022,493,8,0,"2022-02-28 07:30:31 -0500","ocd-division/country:us/state:ky/cd:6","2430 Rayburn House Office Building","202-225-4706","KY","6",FALSE,2106,1.62,98.12,1.67,NA,"RepAndyBarr",NA,NA,NA,0,0,0
"B001300","Representative","Rep.","https://api.propublica.org/congress/v1/members/B001300.json","Nanette","Barragan","1976-09-15","F","D","RepBarragan","CongresswomanBarragan",412687,104730,166270,21703,"N00037019","/g/11bx55ybbz","H6CA44103","https://barragan.house.gov","https://barragan.house.gov/feed/",TRUE,-0.515,6,2022,493,8,0,"2022-02-28 07:30:33 -0500","ocd-division/country:us/state:ca/cd:44","2246 Longworth House Office Building","202-225-8220","CA","44",FALSE,644,1.62,98.96,0.83,NA,NA,NA,NA,NA,0,0,0
"B001270","Representative","Rep.","https://api.propublica.org/congress/v1/members/B001270.json","Karen","Bass","1953-10-03","F","D","RepKarenBass","RepKarenBass",412404,62502,28963,21110,"N00031877","/m/027g9m6","H0CA33117","https://bass.house.gov","https://bass.house.gov/rss.xml",TRUE,-0.584,12,2022,493,11,0,"2022-02-28 07:30:34 -0500","ocd-division/country:us/state:ca/cd:37","2021 Rayburn House Office Building","202-225-7084","CA","37",FALSE,637,2.23,99.17,0.63,NA,"RepKarenBass","",NA,NA,0,0,0
"B001281","Representative","Rep.","https://api.propublica.org/congress/v1/members/B001281.json","Joyce","Beatty","1950-03-12","F","D","RepBeatty","RepJoyceBeatty",412565,67294,2427,21352,"N00033904","/m/03lcwb","H2OH03125","https://beatty.house.gov","https://beatty.house.gov/rss.xml",TRUE,-0.433,10,2022,493,4,0,"2022-02-28 07:30:33 -0500","ocd-division/country:us/state:oh/cd:3","2303 Rayburn House Office Building","202-225-4324","OH","3",FALSE,3903,0.81,98.77,1.03,NA,NA,NA,NA,NA,0,0,0
"B000668","Representative","Rep.","https://api.propublica.org/congress/v1/members/B000668.json","Cliff","Bentz","1952-01-12","M","R","RepBentz",NA,456842,NA,NA,NA,NA,"/m/0gfdsjb","H0OR02127","https://bentz.house.gov/",NA,TRUE,NA,2,2022,493,0,0,"2022-02-28 07:30:31 -0500","ocd-division/country:us/state:or/cd:2","1239 Longworth House Office Building","202-225-6730","OR","2",FALSE,4102,0,97.95,1.85,NA,NA,NA,NA,NA,0,0,0
"B001287","Representative","Rep.","https://api.propublica.org/congress/v1/members/B001287.json","Ami","Bera","1965-03-02","M","D","RepBera","RepAmiBera",412512,1033636,120030,21304,"N00030717","/m/0dgqnts","H0CA03078","https://bera.house.gov","https://bera.house.gov/rss.xml",TRUE,-0.235,10,2022,493,1,0,"2022-02-28 07:30:33 -0500","ocd-division/country:us/state:ca/cd:7","172 Cannon House Office Building","202-225-5716","CA","7",FALSE,607,0.2,98.57,1.22,NA,"repamibera",NA,NA,NA,0,0,0
"B001301","Representative","Rep.","https://api.propublica.org/congress/v1/members/B001301.json","Jack","Bergman","1947-02-02","M","R","RepJackBergman","RepJackBergman",412709,1020529,170172,21704,"N00039533","/m/05b2l3v","H6MI01226","https://bergman.house.gov",NA,TRUE,0.437,6,2022,493,5,0,"2022-02-28 07:30:32 -0500","ocd-division/country:us/state:mi/cd:1","566 Cannon House Office Building","202-225-4735","MI","1",FALSE,2601,1.01,98.35,1.45,NA,"RepJackBergman",NA,NA,NA,0,0,0
"B001292","Representative","Rep.","https://api.propublica.org/congress/v1/members/B001292.json","Donald","Beyer","1950-06-20","M","D","RepDonBeyer","RepDonBeyer",412657,21141,1707,21554,"N00036018","/m/053g16","H4VA08224","https://beyer.house.gov",NA,TRUE,-0.386,8,2022,493,2,0,"2022-02-28 07:30:34 -0500","ocd-division/country:us/state:va/cd:8","1119 Longworth House Office Building","202-225-4376","VA","8",FALSE,5108,0.41,99.59,0.2,NA,NA,NA,NA,NA,0,0,0
"B000740","Representative","Rep.","https://api.propublica.org/congress/v1/members/B000740.json","Stephanie","Bice","1973-11-11","F","R","RepBice",NA,456841,NA,NA,NA,NA,"/g/11h2hmkrv8","H0OK05205","https://bice.house.gov/",NA,TRUE,NA,2,2022,493,3,0,"2022-02-28 07:30:31 -0500","ocd-division/country:us/state:ok/cd:5","1223 Longworth House Office Building","202-225-2132","OK","5",FALSE,4005,0.61,97.73,2.07,NA,NA,NA,NA,NA,0,0,0
"B001302","Representative","Rep.","https://api.propublica.org/congress/v1/members/B001302.json","Andy","Biggs","1958-11-07","M","R","RepAndyBiggsAZ","RepAndyBiggs",412683,105145,28088,21705,"N00039293","/m/0_1m23v","H6AZ05083","https://biggs.house.gov","https://biggs.house.gov/rss.xml",TRUE,0.883,6,2022,493,10,1,"2022-02-28 07:30:28 -0500","ocd-division/country:us/state:az/cd:5","171 Cannon House Office Building","202-225-2635","AZ","5",FALSE,405,2.03,74.74,25.05,NA,NA,NA,NA,NA,0,0,0
"B001257","Representative","Rep.","https://api.propublica.org/congress/v1/members/B001257.json","Gus","Bilirakis","1963-02-08","M","R","RepGusBilirakis","GusBilirakis",412250,1022873,17318,20758,"N00027462","/m/0dy3z1","H6FL09070","https://bilirakis.house.gov","https://bilirakis.house.gov/rss.xml",TRUE,0.405,18,2022,493,6,0,"2022-02-28 07:30:31 -0500","ocd-division/country:us/state:fl/cd:12","2354 Rayburn House Office Building","202-225-5755","FL","12",FALSE,1212,1.22,96.88,2.91,NA,"RepGusBilirakis",NA,NA,NA,0,0,0
"B001311","Representative","Rep.","https://api.propublica.org/congress/v1/members/B001311.json","Dan","Bishop","1964-07-01","M","R","RepDanBishop",NA,412844,NA,92423,NA,"N00044335","/m/013bg9xz","H0NC09187","https://danbishop.house.gov/",NA,TRUE,NA,4,2022,493,5,0,"2022-02-28 07:30:29 -0500","ocd-division/country:us/state:nc/cd:9","1207 Longworth House Office Building","202-225-1976","NC","9",FALSE,3709,1.01,91.1,8.7,NA,NA,NA,NA,NA,0,0,0
"B000490","Representative","Rep.","https://api.propublica.org/congress/v1/members/B000490.json","Sanford","Bishop","1947-02-04","M","D","SanfordBishop","sanfordbishop",400030,26194,26817,29339,"N00002674","/m/02554k","H2GA02031","https://bishop.house.gov","https://bishop.house.gov/rss.xml",TRUE,-0.283,30,2022,493,6,0,"2022-02-28 07:30:32 -0500","ocd-division/country:us/state:ga/cd:2","2407 Rayburn House Office Building","202-225-3631","GA","2",FALSE,1302,1.22,98.14,1.65,"D.","RepSanfordBishop",NA,"Jr.",NA,0,0,0
"B000574","Representative","Rep.","https://api.propublica.org/congress/v1/members/B000574.json","Earl","Blumenauer","1948-08-16","M","D","BlumenauerMedia",NA,400033,43809,367,29588,"N00007727","/m/033tw8","H6OR03064","https://blumenauer.house.gov","https://blumenauer.house.gov/rss.xml",TRUE,-0.427,28,2022,493,7,0,"2022-02-28 07:30:33 -0500","ocd-division/country:us/state:or/cd:3","1111 Longworth House Office Building","202-225-4811","OR","3",FALSE,4103,1.42,98.76,1.03,NA,"RepBlumenauer",NA,NA,NA,0,0,0
"B001303","Representative","Rep.","https://api.propublica.org/congress/v1/members/B001303.json","Lisa","Blunt Rochester","1962-02-10","F","D","RepLBR","Rep.BluntRochester",412689,104772,173249,21706,"N00038414","/g/11c328y56v","H6DE00206","https://bluntrochester.house.gov",NA,TRUE,-0.333,6,2022,493,1,0,"2022-02-28 07:30:34 -0500","ocd-division/country:us/state:de/cd:1","1724 Longworth House Office Building","202-225-4165","DE","At-Large",TRUE,1000,0.2,98.98,0.82,NA,NA,NA,NA,NA,0,0,0
"B000825","Representative","Rep.","https://api.propublica.org/congress/v1/members/B000825.json","Lauren","Boebert","1986-12-15","F","R","RepBoebert",NA,456805,NA,NA,NA,NA,"/g/11j2v06x6p","H0CO03165","https://boebert.house.gov/",NA,TRUE,NA,2,2022,493,15,1,"2022-02-28 07:30:29 -0500","ocd-division/country:us/state:co/cd:3","1609 Longworth House Office Building","202-225-4761","CO","3",FALSE,803,3.04,79.96,19.83,NA,NA,NA,NA,NA,0,0,0
"B001278","Representative","Rep.","https://api.propublica.org/congress/v1/members/B001278.json","Suzanne","Bonamici","1954-10-14","F","D","RepBonamici","congresswomanbonamici",412501,63966,59641,21198,"N00033474","/m/02q453x","H2OR01133","https://bonamici.house.gov","https://bonamici.house.gov/rss.xml",TRUE,-0.394,12,2022,493,0,0,"2022-02-28 07:30:33 -0500","ocd-division/country:us/state:or/cd:1","2231 Rayburn House Office Building","202-225-0855","OR","1",FALSE,4101,0,98.78,1.02,NA,"RepSuzanneBonamici",NA,NA,NA,0,0,0
"B001295","Representative","Rep.","https://api.propublica.org/congress/v1/members/B001295.json","Mike","Bost","1960-12-30","M","R","RepBost","RepBost",412629,76176,6302,21519,"N00035420","/m/0kry42","H4IL12060","https://bost.house.gov",NA,TRUE,0.282,8,2022,493,18,0,"2022-02-28 07:30:30 -0500","ocd-division/country:us/state:il/cd:12","1211 Longworth House Office Building","202-225-5661","IL","12",FALSE,1712,3.65,94.47,5.32,NA,NA,NA,NA,NA,0,0,0
"B001312","Representative","Rep.","https://api.propublica.org/congress/v1/members/B001312.json","Carolyn","Bourdeaux","1970-06-03","F","D","RepBourdeaux",NA,456812,NA,178540,NA,NA,"/g/11fgm1glqj","H8GA07201","https://bourdeaux.house.gov/",NA,TRUE,NA,2,2022,493,0,0,"2022-02-28 07:30:31 -0500","ocd-division/country:us/state:ga/cd:7","1319 Longworth House Office Building","202-225-4272","GA","7",FALSE,1307,0,96.74,3.05,NA,NA,NA,NA,NA,0,0,0
"B001223","Representative","Rep.","https://api.propublica.org/congress/v1/members/B001223.json","Jamaal","Bowman","1976-04-01","M","D","RepBowman",NA,456839,NA,NA,NA,NA,"/g/11fsgvc0xx","H0NY16143","https://bowman.house.gov/",NA,TRUE,NA,2,2022,493,5,1,"2022-02-28 07:30:30 -0500","ocd-division/country:us/state:ny/cd:16","1605 Longworth House Office Building","202-225-2464","NY","16",FALSE,3616,1.01,95.68,4.12,NA,NA,NA,NA,NA,0,0,0
"B001296","Representative","Rep.","https://api.propublica.org/congress/v1/members/B001296.json","Brendan","Boyle","1977-02-06","M","D","CongBoyle","CongressmanBoyle",412652,76428,47357,21548,"N00035307","/m/04f4fjk","H4PA13199","https://boyle.house.gov","https://boyle.house.gov/rss.xml",TRUE,-0.4,8,2022,493,5,0,"2022-02-28 07:30:33 -0500","ocd-division/country:us/state:pa/cd:2","1133 Longworth House Office Building","202-225-6111","PA","2",FALSE,4202,1.01,98.56,1.23,NA,NA,NA,NA,NA,0,0,0
"B000755","Representative","Rep.","https://api.propublica.org/congress/v1/members/B000755.json","Kevin","Brady","1955-04-11","M","R","RepKevinBrady","kevinbrady",400046,45749,361,29760,"N00005883","/m/03tq00","H6TX08100","https://kevinbrady.house.gov",NA,TRUE,0.523,26,2022,493,117,0,"2022-02-28 07:30:31 -0500","ocd-division/country:us/state:tx/cd:8","1011 Longworth House Office Building","202-225-4901","TX","8",FALSE,4808,23.73,97.32,2.41,NA,"KBrady8","",NA,NA,0,0,0
"B001274","Representative","Rep.","https://api.propublica.org/congress/v1/members/B001274.json","Mo","Brooks","1954-04-29","M","R","RepMoBrooks","RepMoBrooks",412395,94888,121610,21193,"N00030910","/m/0c3xdjf","H0AL05163","https://brooks.house.gov","https://brooks.house.gov/rss.xml",TRUE,0.645,12,2022,493,19,0,"2022-02-28 07:30:29 -0500","ocd-division/country:us/state:al/cd:5","2185 Rayburn House Office Building","202-225-4801","AL","5",FALSE,105,3.85,89.77,10.02,NA,"RepMoBrooks","",NA,NA,0,0,0
"B001313","Representative","Rep.","https://api.propublica.org/congress/v1/members/B001313.json","Shontel","Brown","1975-06-24","F","D","RepShontelBrown",NA,456863,NA,NA,NA,NA,NA,"","https://shontelbrown.house.gov/","",TRUE,NA,2,2022,135,0,0,"2022-02-28 07:30:34 -0500","ocd-division/country:us/state:oh/cd:11",NA,NA,"OH","11",FALSE,3911,0,100,0,NA,NA,NA,NA,NA,0,1,0
"B001304","Representative","Rep.","https://api.propublica.org/congress/v1/members/B001304.json","Anthony","Brown","1961-11-21","M","D","RepAnthonyBrown","RepAnthonyBrown",412707,1029537,19344,21707,"N00036999","/m/09v6fg","H6MD04209","https://anthonybrown.house.gov",NA,TRUE,-0.338,6,2022,493,5,0,"2022-02-28 07:30:33 -0500","ocd-division/country:us/state:md/cd:4","1323 Longworth House Office Building","202-225-8699","MD","4",FALSE,2404,1.01,98.56,1.23,NA,"RepAnthonyBrown","",NA,NA,0,0,0
"B001285","Representative","Rep.","https://api.propublica.org/congress/v1/members/B001285.json","Julia","Brownley","1952-08-28","F","D","RepBrownley","RepJuliaBrownley",412516,79783,59904,21308,"N00034254","/m/027z42z","H2CA00120","https://juliabrownley.house.gov","https://juliabrownley.house.gov/category/press-releases/feed/",TRUE,-0.287,10,2022,493,5,0,"2022-02-28 07:30:33 -0500","ocd-division/country:us/state:ca/cd:26","2262 Rayburn House Office Building","202-225-5811","CA","26",FALSE,626,1.01,98.77,1.03,NA,"RepJuliaBrownley",NA,NA,NA,0,0,0
"B001260","Representative","Rep.","https://api.propublica.org/congress/v1/members/B001260.json","Vern","Buchanan","1951-05-08","M","R","VernBuchanan","CongressmanBuchanan",412196,1021626,66247,20709,"N00027626","/m/0gtjsp","H6FL13148","https://buchanan.house.gov","https://buchanan.house.gov/rss.xml",TRUE,0.361,16,2022,493,12,0,"2022-02-28 07:30:31 -0500","ocd-division/country:us/state:fl/cd:16","2110 Rayburn House Office Building","202-225-5015","FL","16",FALSE,1216,2.43,97.05,2.74,NA,"vernbuchanan",NA,NA,NA,0,0,0
"B001297","Representative","Rep.","https://api.propublica.org/congress/v1/members/B001297.json","Ken","Buck","1959-02-16","M","R","RepKenBuck","repkenbuck",412619,78285,125319,21510,"N00030829","/m/05zzjd2","S0CO00237","https://buck.house.gov","https://buck.house.gov/rss.xml",TRUE,0.726,8,2022,493,25,0,"2022-02-28 07:30:29 -0500","ocd-division/country:us/state:co/cd:4","2455 Rayburn House Office Building","202-225-4676","CO","4",FALSE,804,5.07,85.71,14.07,NA,NA,NA,NA,NA,0,0,0
"B001275","Representative","Rep.","https://api.propublica.org/congress/v1/members/B001275.json","Larry","Bucshon","1962-05-31","M","R","RepLarryBucshon","RepLarryBucshon",412427,61837,120335,21132,"N00031227","/m/0dd9k_y","H0IN08114","https://bucshon.house.gov",NA,TRUE,0.408,12,2022,493,12,0,"2022-02-28 07:30:31 -0500","ocd-division/country:us/state:in/cd:8","2313 Rayburn House Office Building","202-225-4636","IN","8",FALSE,1808,2.43,97.69,2.1,NA,"RepLarryBucshon",NA,NA,NA,0,0,0
"B001305","Representative","Rep.","https://api.propublica.org/congress/v1/members/B001305.json","Ted","Budd","1971-10-21","M","R","RepTedBudd","RepTedBudd",412712,103513,171489,21708,"N00039551","/g/11c2nmnsj0","H6NC13129","https://budd.house.gov",NA,TRUE,0.667,6,2022,493,11,0,"2022-02-28 07:30:29 -0500","ocd-division/country:us/state:nc/cd:13","103 Cannon House Office Building","202-225-4531","NC","13",FALSE,3713,2.23,92.02,7.77,NA,NA,"",NA,NA,0,0,0
"B001309","Representative","Rep.","https://api.propublica.org/congress/v1/members/B001309.json","Tim","Burchett","1964-08-25","M","R","RepTimBurchett",NA,412817,NA,24379,NA,"N00041594","/m/03yt07","H8TN02119","https://burchett.house.gov",NA,TRUE,NA,4,2022,493,9,0,"2022-02-28 07:30:29 -0500","ocd-division/country:us/state:tn/cd:2","1122 Longworth House Office Building","202-225-5435","TN","2",FALSE,4702,1.83,87.89,11.9,NA,NA,NA,NA,NA,0,0,0
"B001248","Representative","Rep.","https://api.propublica.org/congress/v1/members/B001248.json","Michael","Burgess","1950-12-23","M","R","MichaelCBurgess","michaelcburgess",400052,1003620,50120,20355,"N00025219","/m/03tq8_","H2TX26093","https://burgess.house.gov","https://burgess.house.gov/news/rss.aspx",TRUE,0.572,20,2022,493,17,0,"2022-02-28 07:30:29 -0500","ocd-division/country:us/state:tx/cd:26","2161 Rayburn House Office Building","202-225-7772","TX","26",FALSE,4826,3.45,94.04,5.74,"C.","michaelcburgessmd",NA,NA,NA,0,0,0
"B001224","Representative","Rep.","https://api.propublica.org/congress/v1/members/B001224.json","Cori","Bush","1976-07-21","F","D","RepCori",NA,456829,NA,NA,NA,NA,"/g/11cntkcbkt","H8MO01143","https://bush.house.gov/",NA,TRUE,NA,2,2022,493,4,0,"2022-02-28 07:30:30 -0500","ocd-division/country:us/state:mo/cd:1","1016 Longworth House Office Building","202-225-2406","MO","1",FALSE,2901,0.81,93.63,6.16,NA,NA,NA,NA,NA,0,0,0
"B001286","Representative","Rep.","https://api.propublica.org/congress/v1/members/B001286.json","Cheri","Bustos","1961-10-17","F","D","RepCheri","RepCheri",412537,63949,134964,21329,"N00033390","/m/0jwwtrm","H2IL17071","https://bustos.house.gov","https://bustos.house.gov/category/press-release/feed/",TRUE,-0.238,10,2022,493,6,0,"2022-02-28 07:30:31 -0500","ocd-division/country:us/state:il/cd:17","1233 Longworth House Office Building","202-225-5905","IL","17",FALSE,1717,1.22,96.91,2.89,NA,"RepCheri","",NA,NA,0,0,0
"B001251","Representative","Rep.","https://api.propublica.org/congress/v1/members/B001251.json","G.","Butterfield","1947-04-27","M","D","GKButterfield","congressmangkbutterfield",400616,1013540,41077,20340,"N00027035","/m/03g_pq","H4NC01046","https://butterfield.house.gov","https://butterfield.house.gov/rss.xml",TRUE,-0.404,20,2022,493,8,0,"2022-02-28 07:30:33 -0500","ocd-division/country:us/state:nc/cd:1","2080 Rayburn House Office Building","202-225-3101","NC","1",FALSE,3701,1.62,98.76,1.04,"K.","GKBNC01","",NA,NA,0,0,0
"C000059","Representative","Rep.","https://api.propublica.org/congress/v1/members/C000059.json","Ken","Calvert","1953-06-08","M","R","KenCalvert","70063393423",400057,26709,26777,29323,"N00007099","/m/024xl1","H2CA37023","https://calvert.house.gov","https://calvert.house.gov/rss.xml",TRUE,0.35,30,2022,493,12,0,"2022-02-28 07:30:31 -0500","ocd-division/country:us/state:ca/cd:42","2205 Rayburn House Office Building","202-225-1986","CA","42",FALSE,642,2.43,96.85,2.94,NA,"RepKenCalvert",NA,NA,NA,0,0,0
"C001039","Representative","Rep.","https://api.propublica.org/congress/v1/members/C001039.json","Kat","Cammack","1988-02-16","F","R","RepKatCammack",NA,456806,NA,NA,NA,NA,"/g/11fsp_lppx","H0FL03175","https://cammack.house.gov/",NA,TRUE,NA,2,2022,493,3,0,"2022-02-28 07:30:29 -0500","ocd-division/country:us/state:fl/cd:3","1626 Longworth House Office Building","202-225-5744","FL","3",FALSE,1203,0.61,91.32,8.47,NA,NA,NA,NA,NA,0,0,0
"C001112","Representative","Rep.","https://api.propublica.org/congress/v1/members/C001112.json","Salud","Carbajal","1964-11-18","M","D","RepCarbajal","repsaludcarbajal",412686,104728,81569,21709,"N00037015","/g/11c2q53dct","H6CA24303","https://carbajal.house.gov",NA,TRUE,-0.299,6,2022,493,0,0,"2022-02-28 07:30:33 -0500","ocd-division/country:us/state:ca/cd:24","2331 Rayburn House Office Building","202-225-3601","CA","24",FALSE,624,0,98.57,1.22,NA,"repcarbajal",NA,NA,NA,0,0,0
